,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI)
1602,4.0,1.0,30.0,-15.0,139.0,983.0,25.7,260.0,W,3.498897389674407
1603,4.0,1.0,30.0,-15.3,139.1,980.0,25.7,250.0,W,3.680562551360306
1604,4.0,1.0,30.0,-15.5,139.1,985.0,25.7,260.0,W,3.3718918144016174
1605,4.0,1.0,30.0,-16.5,138.8,993.0,20.6,280.0,W,2.801604936095944
1606,4.0,1.0,30.0,-16.6,138.6,994.0,18.0,270.0,W,2.7211835684431747
1607,2.0,1.0,40.0,-16.4,121.0,970.0,33.4,330.0,NW,4.226080550428074
1608,2.0,1.0,40.0,-16.6,121.1,965.0,36.0,340.0,N,4.472111984576423
1609,2.0,2.0,40.0,-20.4,119.8,940.0,48.9,190.0,S,5.529668317559652
1610,4.0,1.0,30.0,-22.1,157.1,990.0,25.7,290.0,W,3.02911482118419
1611,4.0,1.0,21.0,-18.7,155.9,1002.0,18.0,100.0,E,1.9504544175096625
1612,4.0,1.0,30.0,-18.9,157.0,1001.0,18.0,110.0,E,2.064004808197857
1613,2.0,1.0,30.0,-18.4,121.2,985.0,18.0,190.0,S,3.3718918144016174
1614,2.0,1.0,30.0,-18.8,121.3,985.0,20.6,130.0,SE,3.3718918144016174
1615,2.0,1.0,30.0,-18.4,115.7,990.0,18.0,120.0,SE,3.02911482118419
1616,4.0,1.0,20.0,-19.7,149.7,1001.0,15.4,144.0,SE,2.064004808197857
1617,4.0,1.0,21.0,-19.7,151.0,1001.0,18.0,129.0,SE,2.064004808197857
1618,4.0,1.0,21.0,-20.3,151.5,1000.0,20.6,136.0,SE,2.171169359038437
1619,4.0,1.0,21.0,-20.5,153.0,997.0,23.2,60.0,NE,2.4628321961038315
1620,4.0,1.0,30.0,-20.5,154.0,995.0,23.2,30.0,NE,2.6381055546827414
1621,4.0,1.0,30.0,-20.6,154.4,990.0,25.7,110.0,E,3.02911482118419
1622,4.0,1.0,30.0,-20.5,154.6,985.0,28.3,180.0,S,3.3718918144016174
1623,4.0,1.0,30.0,-20.1,154.9,985.0,25.7,110.0,E,3.3718918144016174
1624,4.0,1.0,30.0,-19.4,155.1,985.0,25.7,130.0,SE,3.3718918144016174
1625,4.0,1.0,30.0,-18.7,155.1,988.0,23.2,120.0,SE,3.171040401599453
1626,3.0,2.0,30.0,-11.4,131.3,982.0,25.7,310.0,NW,3.560566909487789
1627,3.0,2.0,30.0,-11.4,131.4,982.0,25.7,310.0,NW,3.560566909487789
1628,3.0,4.0,30.0,-11.5,131.8,976.0,28.3,310.0,NW,3.9086693074875756
1629,3.0,1.0,30.0,-11.6,132.2,976.0,28.3,270.0,W,3.9086693074875756
1630,3.0,3.0,30.0,-11.8,132.6,976.0,28.3,300.0,NW,3.9086693074875756
1631,3.0,2.0,30.0,-11.9,133.1,980.0,25.7,280.0,W,3.680562551360306
1632,3.0,2.0,30.0,-12.1,134.4,988.0,20.6,120.0,SE,3.171040401599453
1633,3.0,4.0,21.0,-12.1,135.2,991.0,18.0,120.0,SE,2.9553819823622214
1634,3.0,4.0,30.0,-12.2,136.1,988.0,20.6,300.0,NW,3.171040401599453
1635,2.0,1.0,30.0,-19.1,114.9,992.0,20.6,60.0,NE,2.879603808648294
1636,2.0,1.0,30.0,-19.5,115.1,992.0,18.0,70.0,E,2.879603808648294
1637,2.0,1.0,20.0,-20.6,115.6,997.0,17.0,350.0,N,2.4628321961038315
1638,2.0,1.0,30.0,-7.9,97.6,980.0,28.3,70.0,E,3.680562551360306
1639,3.0,1.0,30.0,-9.9,135.1,988.0,25.7,45.0,NE,3.171040401599453
1640,3.0,1.0,40.0,-10.9,134.1,970.0,33.4,300.0,NW,4.226080550428074
1641,3.0,1.0,40.0,-11.0,134.0,970.0,33.4,270.0,W,4.226080550428074
1642,3.0,1.0,40.0,-11.2,133.9,970.0,33.4,270.0,W,4.226080550428074
1643,3.0,1.0,40.0,-11.4,133.8,970.0,33.4,280.0,W,4.226080550428074
1644,3.0,1.0,30.0,-11.6,133.7,975.0,30.9,280.0,W,3.9634834350840573
1645,3.0,3.0,30.0,-11.8,133.6,975.0,30.9,280.0,W,3.9634834350840573
1646,3.0,2.0,30.0,-12.2,133.4,980.0,25.7,280.0,W,3.680562551360306
1647,4.0,3.0,21.0,-14.6,144.3,997.0,18.0,3.0,N,2.4628321961038315
1648,4.0,1.0,30.0,-16.7,139.7,985.0,25.7,130.0,SE,3.3718918144016174
1649,2.0,1.0,40.0,-20.9,115.6,955.0,38.6,180.0,S,4.92472184575479
1650,3.0,1.0,30.0,-13.8,137.0,991.0,18.0,250.0,W,2.9553819823622214
